"키","명칭","행정시","행정구","행정동"
"BE_IW16-0773","Jaembaeok","Seoul","Jung-gu","Sogong-dong"
"BE_IW16-0774","Jeonwon","Seoul","Gangnam-gu","Yeoksam2-dong"
"BE_IW16-0775","Jeonwon","Seoul","Jung-gu","Jangchung-dong"
"BE_IW16-0776","Jeonwon Garden (Restaurant)","Seoul","Seocho-gu","Naegok-dong"
"BE_IW16-0777","Jeonwon Sambab","Seoul","Eunpyeong-gu","Bulgwang1-dong"
"BE_IW16-0778","Jeonwon ilgi","Seoul","Gangseo-gu","Balsan1-dong"
"BE_IW16-0779","JeonjuBabSang","Seoul","Eunpyeong-gu","Eungam1-dong"
"BE_IW16-0780","JeonjuBabSang","Seoul","Gwangjin-gu","Hwayang-dong"
"BE_IW16-0781","Jeongju Restaurant","Seoul","Gangnam-gu","Nonhyeon2-dong"
"BE_IW16-0782","Jeongju Restaurant","Seoul","Jongno-gu","Changsin2-dong"
"BE_IW16-0783","Jeongju Restaurant","Seoul","Dongjak-gu","Sangdo3-dong"
"BE_IW16-0784","Jeongju Restaurant","Seoul","Mapo-gu","Daheung-dong"
"BE_IW16-0785","Jeongju Restaurant","Seoul","Yeongdeungpo-gu","Singil4-dong"
"BE_IW16-0786","Jeongju Restaurant","Seoul","Yongsan-gu","Cheongpa-dong"
"BE_IW16-0787","Jeongju Restaurant","Seoul","Songpa-gu","Seokchon-dong"
"BE_IW16-0788","Jeongju Restaurant","Seoul","Seongdong-gu","Seongsu2ga1-dong"
"BE_IW16-0789","Jeongju Restaurant","Seoul","Yeongdeungpo-gu","Mullae-dong"
"BE_IW16-0790","Jeongju Restaurant","Seoul","Gangseo-gu","Hwagok4-dong"
"BE_IW16-0791","Jeongju Restaurant","Seoul","Eunpyeong-gu","Jingwan-dong"
"BE_IW16-0792","Jeongju Restaurant","Seoul","Gwanak-gu","Jowon-dong"
"BE_IW16-0793","Jeongju Restaurant","Seoul","Jung-gu","Sindang5-dong"
"BE_IW16-0794","Jeongju Restaurant","Seoul","Gangbuk-gu","Insu-dong"
"BE_IW16-0795","Jeongju Restaurant","Seoul","Jongno-gu","Cheongunhyoja-dong"
"BE_IW16-0796","Jeongju Restaurant","Seoul","Seongdong-gu","Seongsu2ga1-dong"
"BE_IW16-0797","Jeongju Restaurant","Seoul","Seongbuk-gu","Gireum2-dong"
"BE_IW16-0798","Jeonju Dog Meat Stew","Seoul","Gangbuk-gu","Samyang-dong"
"BE_IW16-0799","Jeonju-style Bean Sprout and Rice Soup","Seoul","Songpa-gu","Jamsilbon-dong"
"BE_IW16-0034","Ganggangsullae","Seoul","Geumcheon-gu","Siheung1-dong"
"BE_IW16-0035","Ganggangsullae SanggyeJeom","Seoul","Nowon-gu","Sanggye1-dong"
"BE_IW16-0036","Ganggangsullae SinrimJeom","Seoul","Gwanak-gu","Seowon-dong"
"BE_IW16-0037","Ganggangsullae YeouidoJeom","Seoul","Yeongdeungpo-gu","Yeoui-dong"
"BE_IW16-0038","Ganggu Port","Seoul","Gangnam-gu","Nonhyeon2-dong"
"BE_IW16-0039","Gangnam Myeonok","Seoul","Gangnam-gu","Apgujeong-dong"
"BE_IW16-0040","Gangneung Yennaljip","Seoul","Gangnam-gu","Nonhyeon2-dong"
"BE_IW16-0041","Gangneungjip","Seoul","Gangnam-gu","Yeoksam1-dong"
"BE_IW16-0042","Gangneungjip","Seoul","Gangdong-gu","Dunchon2-dong"
"BE_IW16-0043","Gangmaru","Seoul","Gwangjin-gu","Guui2-dong"
"BE_IW16-0044","Gangseomyeonok","Seoul","Jung-gu","Sogong-dong"
"BE_IW16-0045","Gangwonjeong","Seoul","Yongsan-gu","Wonhyoro1-dong"
"BE_IW16-0046","Gangchon Sambab","Seoul","Seongbuk-gu","Wolgok2-dong"
"BE_IW16-0047","Gaeseong Cold Buckwheat Noodles","Seoul","Seongbuk-gu","Jeongneung2-dong"
"BE_IW16-0048","Gaeseong Cold Buckwheat Noodles","Seoul","Guro-gu","Guro2-dong"
"BE_IW16-0049","Gaeseong Cold Buckwheat Noodles","Seoul","Gangseo-gu","Yeomchang-dong"
"BE_IW16-0050","Gaeseong Cold Buckwheat Noodles","Seoul","Yeongdeungpo-gu","Singil6-dong"
"BE_IW16-0051","Gaeseongjip","Seoul","Songpa-gu","Bangi2-dong"
"BE_IW16-0052","Gaeseongjip","Seoul","Gangnam-gu","Nonhyeon1-dong"
"BE_IW16-0053","Gae-ulmok","Seoul","Gangbuk-gu","Ui-dong"
"BE_IW16-0054","Gaehwaok","Seoul","Gangnam-gu","Apgujeong-dong"
"BE_IW16-0055","Gaenmaeul","Seoul","Gwangjin-gu","Guui3-dong"
"BE_IW16-0056","Gaenmaeul","Seoul","Yeongdeungpo-gu","Dangsan1-dong"
"BE_IW16-0057","Gaenmaeul","Seoul","Yongsan-gu","Hangangno-dong"
"BE_IW16-0058","Gaetbeol Baby Octopus Restaurant","Seoul","Songpa-gu","Garakbon-dong"
"BE_IW16-0059","Gyeongbokgung Palace","Seoul","Jongno-gu","Samcheong-dong"
"BE_IW16-0060","Gyeongbokgung Palace","Seoul","Gangseo-gu","Ujangsan-dong"
"BE_IW16-0061","Gyeongbokgung Palace","Seoul","Jung-gu","Euljiro-dong"
"BE_IW16-0062","Gyegoksanjang","Seoul","Gangbuk-gu","Ui-dong"
"BE_IW16-0063","Gyrim","Seoul","Gwangjin-gu","Gwangjang-dong"
"BE_IW16-0064","Gogenmaru Restaurant","Seoul","Nowon-gu","Sanggye3.4-dong"
"BE_IW16-0065","Gogung Korean Restaurant","Seoul","Jungnang-gu","Myeonmok2-dong"
"BE_IW16-0066","Gogung Korean Restaurant","Seoul","Jung-gu","Myeong-dong"
"BE_IW16-0067","Goginara","Seoul","Dongjak-gu","Sangdo1-dong"
"BE_IW16-0068","Gogi Sarang","Seoul","Gangnam-gu","Cheongdam-dong"
"BE_IW16-0069","Gogi Sarang","Seoul","Gwanak-gu","Euncheon-dong"
"BE_IW16-0070","Gogi Market (Butcher shop)","Seoul","Yangcheon-gu","Sinwol5-dong"
"BE_IW16-0071","Godeok Garden Restaurant","Seoul","Gangdong-gu","Godeok1-dong"
"BE_IW16-0072","Goraebul","Seoul","Gangnam-gu","Yeoksam1-dong"
"BE_IW16-0073","Gourmethome","Seoul","Gangnam-gu","Daechi4-dong"
"BE_IW16-0074","Gomone Restaurant","Seoul","Gangdong-gu","Seongnae3-dong"
"BE_IW16-0075","Goseokjeong Pavilion","Seoul","Gangdong-gu","Seongnae1-dong"
"BE_IW16-0076","Gohyang Sancheon","Seoul","Mapo-gu","Mangwon1-dong"
