,ctr,tour,cb,ob,study,ect,total,yoy,growth,ratio,date,season
2406,남아프리카공화국,531,11,0,3,441,986,621,58.8,0.1,2016-12,winter
2407,아프리카 기타,1176,374,44,66,929,2589,2286,13.3,0.2,2016-12,winter
2409,국적미상,33,0,0,0,26,59,79,-25.3,0.0,2016-12,winter
2411,교포,0,0,0,0,22765,22765,22939,-0.8,1.7,2016-12,winter
2413,일본,146111,2948,91,776,4936,154862,136884,13.1,12.7,2017-01,winter
2414,대만,68286,70,17,112,1138,69623,57700,20.7,5.7,2017-01,winter
2415,홍콩,54501,34,2,71,916,55524,33627,65.1,4.5,2017-01,winter
2416,마카오,4555,0,0,5,30,4590,2846,61.3,0.4,2017-01,winter
2417,태국,35546,41,109,97,6084,41877,39032,7.3,3.4,2017-01,winter
2418,말레이시아,18216,201,7,94,2041,20559,13907,47.8,1.7,2017-01,winter
2419,필리핀,11546,307,129,202,24766,36950,31098,18.8,3.0,2017-01,winter
2420,인도네시아,10102,268,45,114,8986,19515,15757,23.8,1.6,2017-01,winter
2421,싱가포르,8045,131,5,27,1589,9797,8261,18.6,0.8,2017-01,winter
2422,미얀마,1014,13,28,46,4420,5521,5292,4.3,0.5,2017-01,winter
2423,베트남,8207,249,65,711,3961,13193,8843,49.2,1.1,2017-01,winter
2424,인도,2174,2285,32,134,7836,12461,10312,20.8,1.0,2017-01,winter
2425,스리랑카,181,44,3,21,1004,1253,1474,-15.0,0.1,2017-01,winter
2426,파키스탄,170,219,22,106,383,900,961,-6.3,0.1,2017-01,winter
2427,방글라데시,116,119,11,45,495,786,944,-16.7,0.1,2017-01,winter
2428,캄보디아,523,34,12,53,1534,2156,1964,9.8,0.2,2017-01,winter
2429,몽골,7132,111,231,404,642,8520,6524,30.6,0.7,2017-01,winter
2430,중국,489256,2813,68,5117,67989,565243,521981,8.3,46.3,2017-01,winter
2431,이란,99,194,17,26,285,621,276,125.0,0.1,2017-01,winter
2432,이스라엘,827,6,0,4,51,888,885,0.3,0.1,2017-01,winter
2433,터키,694,15,19,26,995,1749,1602,9.2,0.1,2017-01,winter
2434,우즈베키스탄,2118,361,5,155,2761,5400,5088,6.1,0.4,2017-01,winter
2435,카자흐스탄,2405,10,0,69,591,3075,2524,21.8,0.3,2017-01,winter
2436,GCC,1217,42,61,112,79,1511,1529,-1.2,0.1,2017-01,winter
2437,아시아 기타,1198,310,96,124,1732,3460,2976,16.3,0.3,2017-01,winter
2439,미국,37630,447,2278,220,16637,57212,55739,2.6,4.7,2017-01,winter
2440,캐나다,7766,68,19,43,4697,12593,10518,19.7,1.0,2017-01,winter
2441,멕시코,558,9,6,49,300,922,789,16.9,0.1,2017-01,winter
2442,브라질,756,20,6,37,451,1270,991,28.2,0.1,2017-01,winter
2443,미주 기타,1281,29,22,113,1182,2627,1825,43.9,0.2,2017-01,winter
2445,영국,7260,521,13,33,2485,10312,9401,9.7,0.8,2017-01,winter
2446,독일,4952,342,27,171,1228,6720,7313,-8.1,0.6,2017-01,winter
2447,프랑스,3499,626,51,260,1328,5764,5400,6.7,0.5,2017-01,winter
2448,네덜란드,1502,77,6,49,617,2251,2168,3.8,0.2,2017-01,winter
2449,스웨덴,798,65,5,25,115,1008,952,5.9,0.1,2017-01,winter
2450,스위스,693,27,2,24,87,833,733,13.6,0.1,2017-01,winter
2451,이탈리아,1799,98,12,25,1951,3885,3272,18.7,0.3,2017-01,winter
2452,덴마크,604,42,5,20,138,809,812,-0.4,0.1,2017-01,winter
2453,노르웨이,761,479,3,21,228,1492,1514,-1.5,0.1,2017-01,winter
2454,벨기에,485,20,5,21,177,708,712,-0.6,0.1,2017-01,winter
2455,오스트리아,481,8,0,13,221,723,704,2.7,0.1,2017-01,winter
2456,스페인,879,43,12,60,330,1324,1250,5.9,0.1,2017-01,winter
2457,그리스,466,57,2,2,370,897,712,26.0,0.1,2017-01,winter
2458,포르투갈,615,9,0,10,195,829,526,57.6,0.1,2017-01,winter
2459,핀란드,446,31,3,31,330,841,894,-5.9,0.1,2017-01,winter
2460,아일랜드,382,28,1,0,250,661,604,9.4,0.1,2017-01,winter
2461,우크라이나,579,72,0,18,1820,2489,1948,27.8,0.2,2017-01,winter
2462,러시아,13107,171,11,105,6021,19415,16462,17.9,1.6,2017-01,winter
2463,크로아티아,182,22,0,2,329,535,395,35.4,0.0,2017-01,winter
2464,루마니아,301,38,1,13,775,1128,995,13.4,0.1,2017-01,winter
2465,불가리아,195,1,0,6,515,717,605,18.5,0.1,2017-01,winter
2466,폴란드,619,31,1,25,471,1147,817,40.4,0.1,2017-01,winter
2467,구주 기타,1638,80,7,75,1224,3024,2479,22.0,0.2,2017-01,winter
2469,오스트레일리아,9892,572,14,29,1477,11984,9980,20.1,1.0,2017-01,winter
2470,뉴질랜드,2191,35,20,5,619,2870,2426,18.3,0.2,2017-01,winter
2471,대양주 기타,442,0,2,3,140,587,672,-12.6,0.0,2017-01,winter
2473,남아프리카공화국,294,18,4,4,813,1133,960,18.0,0.1,2017-01,winter
2474,아프리카 기타,899,336,36,215,982,2468,2134,15.7,0.2,2017-01,winter
2476,국적미상,32,1,0,0,22,55,52,5.8,0.0,2017-01,winter
2478,교포,0,0,0,0,19428,19428,18390,5.6,1.6,2017-01,winter
2480,일본,177671,1677,103,1934,3647,185032,144493,28.1,14.8,2017-02,winter
2481,대만,73874,64,22,749,1121,75830,57876,31.0,6.1,2017-02,winter
2482,홍콩,35438,54,0,423,930,36845,49160,-25.1,2.9,2017-02,winter
2483,마카오,2566,0,0,31,31,2628,3482,-24.5,0.2,2017-02,winter
2484,태국,34305,32,93,334,5259,40023,35833,11.7,3.2,2017-02,winter
2485,말레이시아,16921,224,2,689,2000,19836,19657,0.9,1.6,2017-02,winter
2486,필리핀,11592,265,68,222,23139,35286,30729,14.8,2.8,2017-02,winter
2487,인도네시아,11393,297,37,595,8811,21133,15849,33.3,1.7,2017-02,winter
2488,싱가포르,7043,107,4,276,1493,8923,8255,8.1,0.7,2017-02,winter
2489,미얀마,1172,8,37,132,4438,5787,5092,13.6,0.5,2017-02,winter
2490,베트남,7225,274,73,3456,7993,19021,17804,6.8,1.5,2017-02,winter
2491,인도,1919,2315,62,344,7806,12446,10230,21.7,1.0,2017-02,winter
2492,스리랑카,170,72,3,48,972,1265,1216,4.0,0.1,2017-02,winter
2493,파키스탄,210,254,43,378,456,1341,1070,25.3,0.1,2017-02,winter
2494,방글라데시,166,135,18,200,641,1160,914,26.9,0.1,2017-02,winter
2495,캄보디아,406,34,30,143,1680,2293,2775,-17.4,0.2,2017-02,winter
2496,몽골,6061,82,244,526,373,7286,6237,16.8,0.6,2017-02,winter
2497,중국,458952,3724,116,42620,85378,590790,546408,8.1,47.2,2017-02,winter
2498,이란,133,275,0,55,136,599,455,31.6,0.0,2017-02,winter
2499,이스라엘,758,5,0,12,45,820,717,14.4,0.1,2017-02,winter
2500,터키,657,9,26,100,911,1703,1639,3.9,0.1,2017-02,winter
2501,우즈베키스탄,2447,378,0,462,2263,5550,4970,11.7,0.4,2017-02,winter
2502,카자흐스탄,2478,2,0,372,727,3579,2920,22.6,0.3,2017-02,winter
2503,GCC,1071,25,27,282,86,1491,1478,0.9,0.1,2017-02,winter
2504,아시아 기타,1306,395,107,416,1832,4056,3559,14.0,0.3,2017-02,winter
2506,미국,35860,353,1630,885,14004,52732,50705,4.0,4.2,2017-02,winter
2507,캐나다,7591,46,9,124,3914,11684,10695,9.2,0.9,2017-02,winter
2508,멕시코,580,8,1,186,304,1079,807,33.7,0.1,2017-02,winter
2509,브라질,705,10,1,57,392,1165,932,25.0,0.1,2017-02,winter
2510,미주 기타,1330,23,13,237,1176,2779,1980,40.4,0.2,2017-02,winter
2512,영국,5728,273,14,115,2141,8271,8141,1.6,0.7,2017-02,winter
2513,독일,5544,226,16,511,1160,7457,6815,9.4,0.6,2017-02,winter
2514,프랑스,3889,268,15,876,777,5825,6100,-4.5,0.5,2017-02,winter
2515,네덜란드,1661,42,3,172,511,2389,2048,16.7,0.2,2017-02,winter
2516,스웨덴,836,28,10,89,57,1020,1028,-0.8,0.1,2017-02,winter
2517,스위스,786,15,0,65,78,944,846,11.6,0.1,2017-02,winter
2518,이탈리아,2120,43,4,97,1761,4025,3244,24.1,0.3,2017-02,winter
2519,덴마크,540,30,1,51,141,763,755,1.1,0.1,2017-02,winter
2520,노르웨이,792,287,1,53,133,1266,1269,-0.2,0.1,2017-02,winter
2521,벨기에,512,9,2,31,120,674,612,10.1,0.1,2017-02,winter
2522,오스트리아,742,12,2,45,174,975,804,21.3,0.1,2017-02,winter
2523,스페인,959,21,3,130,269,1382,1292,7.0,0.1,2017-02,winter
2524,그리스,441,24,1,2,415,883,758,16.5,0.1,2017-02,winter
2525,포르투갈,413,8,0,20,185,626,652,-4.0,0.0,2017-02,winter
2526,핀란드,501,22,0,124,307,954,881,8.3,0.1,2017-02,winter
2527,아일랜드,336,16,0,16,179,547,554,-1.3,0.0,2017-02,winter
2528,우크라이나,596,81,1,32,1864,2574,1885,36.6,0.2,2017-02,winter
2529,러시아,11559,131,17,354,5726,17787,14122,26.0,1.4,2017-02,winter
2530,크로아티아,238,12,0,7,360,617,472,30.7,0.0,2017-02,winter
2531,루마니아,304,14,3,18,878,1217,920,32.3,0.1,2017-02,winter
2532,불가리아,168,3,1,11,449,632,592,6.8,0.1,2017-02,winter
2533,폴란드,818,26,3,53,558,1458,1037,40.6,0.1,2017-02,winter
2534,구주 기타,1604,75,23,195,1398,3295,2246,46.7,0.3,2017-02,winter
2536,오스트레일리아,6778,516,16,87,1153,8550,7338,16.5,0.7,2017-02,winter
2537,뉴질랜드,1360,24,6,15,559,1964,1867,5.2,0.2,2017-02,winter
2538,대양주 기타,232,0,9,1,100,342,353,-3.1,0.0,2017-02,winter
2540,남아프리카공화국,337,12,0,14,881,1244,964,29.0,0.1,2017-02,winter
2541,아프리카 기타,1126,424,83,478,985,3096,2754,12.4,0.2,2017-02,winter
2543,국적미상,28,1,0,2,26,57,72,-20.8,0.0,2017-02,winter
2545,교포,0,0,0,0,17084,17084,17892,-4.5,1.4,2017-02,winter
2547,일본,267416,2042,121,805,4094,274478,224328,22.4,22.2,2017-03,spring
2548,대만,73095,50,7,311,1049,74512,57848,28.8,6.0,2017-03,spring
2549,홍콩,46659,56,1,205,913,47834,62949,-24.0,3.9,2017-03,spring
2550,마카오,3147,0,0,15,40,3202,3993,-19.8,0.3,2017-03,spring
2551,태국,46397,31,346,130,5599,52503,46657,12.5,4.3,2017-03,spring
2552,말레이시아,28491,146,4,188,1991,30820,28672,7.5,2.5,2017-03,spring
2553,필리핀,16891,270,74,121,22729,40085,42494,-5.7,3.2,2017-03,spring
2554,인도네시아,14177,409,52,164,7153,21955,19515,12.5,1.8,2017-03,spring
2555,싱가포르,19240,161,1,38,1562,21002,17649,19.0,1.7,2017-03,spring
2556,미얀마,1534,17,40,72,5016,6679,5400,23.7,0.5,2017-03,spring
2557,베트남,16221,612,161,2970,5195,25159,18654,34.9,2.0,2017-03,spring
2558,인도,2506,2727,35,160,6377,11805,13859,-14.8,1.0,2017-03,spring
2559,스리랑카,220,71,4,34,1127,1456,1359,7.1,0.1,2017-03,spring
2560,파키스탄,277,334,32,153,496,1292,1213,6.5,0.1,2017-03,spring
2561,방글라데시,214,178,33,110,689,1224,1040,17.7,0.1,2017-03,spring
2562,캄보디아,604,28,49,47,1134,1862,2303,-19.1,0.2,2017-03,spring
2563,몽골,6446,107,300,1053,721,8627,5947,45.1,0.7,2017-03,spring
2564,중국,263788,3868,187,19633,73306,360782,601671,-40.0,29.2,2017-03,spring
2565,이란,340,293,10,36,172,851,614,38.6,0.1,2017-03,spring
2566,이스라엘,1251,9,0,3,47,1310,1202,9.0,0.1,2017-03,spring
2567,터키,1128,11,36,34,929,2138,2098,1.9,0.2,2017-03,spring
2568,우즈베키스탄,2225,584,0,451,2749,6009,5914,1.6,0.5,2017-03,spring
2569,카자흐스탄,2744,11,0,123,1004,3882,3289,18.0,0.3,2017-03,spring
2570,GCC,2902,23,28,119,59,3131,2673,17.1,0.3,2017-03,spring
2571,아시아 기타,1760,689,163,186,2630,5428,4620,17.5,0.4,2017-03,spring
2573,미국,56367,426,1396,119,14169,72477,68719,5.5,5.9,2017-03,spring
2574,캐나다,12425,60,14,23,3805,16327,14492,12.7,1.3,2017-03,spring
2575,멕시코,974,8,5,24,273,1284,1160,10.7,0.1,2017-03,spring
2576,브라질,935,4,10,17,431,1397,1204,16.0,0.1,2017-03,spring
2577,미주 기타,1784,32,17,61,1008,2902,2575,12.7,0.2,2017-03,spring
2579,영국,12459,351,11,29,1959,14809,13449,10.1,1.2,2017-03,spring
2580,독일,8794,261,14,59,1430,10558,11116,-5.0,0.9,2017-03,spring
2581,프랑스,5743,455,52,131,1137,7518,7160,5.0,0.6,2017-03,spring
2582,네덜란드,2164,47,7,18,601,2837,2559,10.9,0.2,2017-03,spring
2583,스웨덴,1337,35,8,27,150,1557,1577,-1.3,0.1,2017-03,spring
2584,스위스,1051,23,4,9,97,1184,1218,-2.8,0.1,2017-03,spring
2585,이탈리아,2722,76,3,17,1159,3977,4468,-11.0,0.3,2017-03,spring
2586,덴마크,810,30,3,1,140,984,971,1.3,0.1,2017-03,spring
2587,노르웨이,1060,353,2,7,153,1575,1947,-19.1,0.1,2017-03,spring
2588,벨기에,942,20,1,5,167,1135,955,18.8,0.1,2017-03,spring
2589,오스트리아,766,9,2,2,199,978,977,0.1,0.1,2017-03,spring
2590,스페인,1534,24,4,32,264,1858,1922,-3.3,0.2,2017-03,spring
2591,그리스,507,26,3,1,386,923,884,4.4,0.1,2017-03,spring
2592,포르투갈,603,5,0,1,173,782,847,-7.7,0.1,2017-03,spring
2593,핀란드,801,25,10,13,344,1193,1026,16.3,0.1,2017-03,spring
2594,아일랜드,595,14,0,2,157,768,640,20.0,0.1,2017-03,spring
2595,우크라이나,844,91,0,13,1894,2842,2367,20.1,0.2,2017-03,spring
2596,러시아,16221,186,9,125,6410,22951,19244,19.3,1.9,2017-03,spring
2597,크로아티아,231,8,0,1,369,609,647,-5.9,0.0,2017-03,spring
2598,루마니아,511,14,0,3,921,1449,1283,12.9,0.1,2017-03,spring
2599,불가리아,213,2,1,5,428,649,872,-25.6,0.1,2017-03,spring
2600,폴란드,1254,25,0,9,577,1865,1222,52.6,0.2,2017-03,spring
2601,구주 기타,2049,68,7,41,1389,3554,2928,21.4,0.3,2017-03,spring
2603,오스트레일리아,11071,516,14,11,1189,12801,13319,-3.9,1.0,2017-03,spring
2604,뉴질랜드,1765,29,6,0,554,2354,2120,11.0,0.2,2017-03,spring
2605,대양주 기타,258,1,2,3,143,407,402,1.2,0.0,2017-03,spring
2607,남아프리카공화국,506,12,0,3,460,981,783,25.3,0.1,2017-03,spring
2608,아프리카 기타,1386,588,23,282,983,3262,3193,2.2,0.3,2017-03,spring
2610,국적미상,34,0,0,2,45,81,62,30.6,0.0,2017-03,spring
2612,교포,0,0,0,0,24786,24786,25130,-1.4,2.0,2017-03,spring
2614,일본,159263,1604,118,339,4424,165748,175283,-5.4,15.4,2017-04,spring
2615,대만,77848,48,20,93,1194,79203,69151,14.5,7.4,2017-04,spring
2616,홍콩,77904,34,2,53,1074,79067,52699,50.0,7.3,2017-04,spring
2617,마카오,4818,0,0,8,33,4859,3452,40.8,0.5,2017-04,spring
2618,태국,50195,34,126,43,5953,56351,51733,8.9,5.2,2017-04,spring
2619,말레이시아,32399,135,4,37,1866,34441,31762,8.4,3.2,2017-04,spring
2620,필리핀,28306,293,131,37,18489,47256,46187,2.3,4.4,2017-04,spring
2621,인도네시아,17291,317,47,61,6562,24278,27029,-10.2,2.3,2017-04,spring
2622,싱가포르,21256,86,2,14,1554,22912,20216,13.3,2.1,2017-04,spring
2623,미얀마,2041,16,62,16,3763,5898,5917,-0.3,0.5,2017-04,spring
2624,베트남,24126,690,275,839,5394,31324,24455,28.1,2.9,2017-04,spring
2625,인도,2846,2595,40,61,3976,9518,13954,-31.8,0.9,2017-04,spring
2626,스리랑카,318,65,3,11,1029,1426,1824,-21.8,0.1,2017-04,spring
2627,파키스탄,283,289,28,43,428,1071,947,13.1,0.1,2017-04,spring
2628,방글라데시,228,198,90,35,557,1108,1042,6.3,0.1,2017-04,spring
2629,캄보디아,1059,33,81,16,2664,3853,4334,-11.1,0.4,2017-04,spring
2630,몽골,5773,106,274,149,469,6771,5256,28.8,0.6,2017-04,spring
2631,중국,158784,3546,129,6586,58766,227811,682318,-66.6,21.2,2017-04,spring
2632,이란,150,245,6,17,142,560,485,15.5,0.1,2017-04,spring
2633,이스라엘,1815,7,0,3,30,1855,1240,49.6,0.2,2017-04,spring
2634,터키,1203,14,49,11,973,2250,2614,-13.9,0.2,2017-04,spring
2635,우즈베키스탄,1774,474,0,95,3294,5637,5840,-3.5,0.5,2017-04,spring
2636,카자흐스탄,2719,9,2,17,979,3726,2849,30.8,0.3,2017-04,spring
2637,GCC,2334,37,19,32,71,2493,1813,37.5,0.2,2017-04,spring
2638,아시아 기타,1858,625,159,64,2168,4874,5438,-10.4,0.5,2017-04,spring
2640,미국,65961,399,3281,113,13731,83485,81439,2.5,7.8,2017-04,spring
2641,캐나다,13914,34,15,25,3616,17604,15614,12.7,1.6,2017-04,spring
2642,멕시코,1486,10,5,21,242,1764,1188,48.5,0.2,2017-04,spring
2643,브라질,1219,11,4,11,321,1566,1393,12.4,0.1,2017-04,spring
2644,미주 기타,2241,26,14,29,665,2975,3010,-1.2,0.3,2017-04,spring
2646,영국,11407,298,13,14,1610,13342,12079,10.5,1.2,2017-04,spring
2647,독일,9542,233,19,61,1857,11712,10292,13.8,1.1,2017-04,spring
2648,프랑스,8066,366,28,146,1272,9878,8724,13.2,0.9,2017-04,spring
2649,네덜란드,2621,55,8,28,674,3386,2941,15.1,0.3,2017-04,spring
2650,스웨덴,1584,42,8,14,76,1724,1622,6.3,0.2,2017-04,spring
2651,스위스,1695,17,2,11,99,1824,1503,21.4,0.2,2017-04,spring
2652,이탈리아,2638,61,12,8,670,3389,4994,-32.1,0.3,2017-04,spring
2653,덴마크,821,32,2,3,144,1002,943,6.3,0.1,2017-04,spring
2654,노르웨이,1597,321,3,2,186,2109,1451,45.3,0.2,2017-04,spring
2655,벨기에,910,13,1,5,171,1100,950,15.8,0.1,2017-04,spring
2656,오스트리아,900,5,1,11,165,1082,1011,7.0,0.1,2017-04,spring
2657,스페인,1769,26,11,20,250,2076,1767,17.5,0.2,2017-04,spring
2658,그리스,489,21,1,2,277,790,894,-11.6,0.1,2017-04,spring
2659,포르투갈,1016,8,0,0,122,1146,913,25.5,0.1,2017-04,spring
2660,핀란드,953,20,0,21,339,1333,1071,24.5,0.1,2017-04,spring
2661,아일랜드,671,18,2,0,121,812,638,27.3,0.1,2017-04,spring
2662,우크라이나,740,138,6,3,1650,2537,2388,6.2,0.2,2017-04,spring
2663,러시아,18496,154,38,28,8003,26719,21734,22.9,2.5,2017-04,spring
2664,크로아티아,194,10,0,1,242,447,571,-21.7,0.0,2017-04,spring
2665,루마니아,575,16,5,5,621,1222,1419,-13.9,0.1,2017-04,spring
2666,불가리아,303,1,0,2,449,755,813,-7.1,0.1,2017-04,spring
2667,폴란드,1451,16,0,5,568,2040,1384,47.4,0.2,2017-04,spring
2668,구주 기타,2151,56,11,13,1030,3261,3017,8.1,0.3,2017-04,spring
2670,오스트레일리아,17316,474,21,11,1218,19040,14065,35.4,1.8,2017-04,spring
2671,뉴질랜드,2724,19,3,1,537,3284,2417,35.9,0.3,2017-04,spring
2672,대양주 기타,345,1,7,0,97,450,466,-3.4,0.0,2017-04,spring
2674,남아프리카공화국,512,13,2,1,387,915,915,0.0,0.1,2017-04,spring
2675,아프리카 기타,1712,489,80,63,668,3012,3084,-2.3,0.3,2017-04,spring
2677,국적미상,59,0,0,1,33,93,65,43.1,0.0,2017-04,spring
2679,교포,0,0,0,0,23735,23735,25061,-5.3,2.2,2017-04,spring
2681,일본,151502,2395,109,670,4703,159379,178735,-10.8,16.3,2017-05,spring
2682,대만,72213,64,5,242,1117,73641,65168,13.0,7.5,2017-05,spring
2683,홍콩,50667,44,4,133,1027,51875,52006,-0.3,5.3,2017-05,spring
2684,마카오,2706,0,0,12,36,2754,3160,-12.8,0.3,2017-05,spring
2685,태국,34004,37,176,64,5751,40032,44706,-10.5,4.1,2017-05,spring
2686,말레이시아,21735,133,6,68,1956,23898,27926,-14.4,2.4,2017-05,spring
2687,필리핀,20025,275,166,70,18519,39055,52229,-25.2,4.0,2017-05,spring
2688,인도네시아,10460,333,74,76,6465,17408,28240,-38.4,1.8,2017-05,spring
2689,싱가포르,16753,103,8,46,1556,18466,17957,2.8,1.9,2017-05,spring
2690,미얀마,1400,13,74,19,4336,5842,6144,-4.9,0.6,2017-05,spring
2691,베트남,17001,613,228,1658,5779,25279,18190,39.0,2.6,2017-05,spring
2692,인도,3212,2771,54,65,5338,11440,20562,-44.4,1.2,2017-05,spring
2693,스리랑카,346,102,6,24,1288,1766,3419,-48.3,0.2,2017-05,spring
2694,파키스탄,339,344,32,42,309,1066,1224,-12.9,0.1,2017-05,spring
2695,방글라데시,327,166,59,13,486,1051,1631,-35.6,0.1,2017-05,spring
2696,캄보디아,774,41,57,21,3485,4378,3684,18.8,0.4,2017-05,spring
2697,몽골,5297,89,275,238,446,6345,6013,5.5,0.6,2017-05,spring
2698,중국,172527,3926,96,14264,62546,253359,705844,-64.1,25.9,2017-05,spring
2699,이란,228,343,17,25,155,768,679,13.1,0.1,2017-05,spring
2700,이스라엘,933,6,1,8,55,1003,1272,-21.1,0.1,2017-05,spring
2701,터키,1242,15,46,18,804,2125,2570,-17.3,0.2,2017-05,spring
2702,우즈베키스탄,3108,445,5,148,2727,6433,5847,10.0,0.7,2017-05,spring
2703,카자흐스탄,2414,9,3,37,795,3258,2547,27.9,0.3,2017-05,spring
2704,GCC,1448,47,26,48,82,1651,2080,-20.6,0.2,2017-05,spring
2705,아시아 기타,1749,533,191,52,2216,4741,5042,-6.0,0.5,2017-05,spring
2707,미국,58444,459,2229,263,14952,76347,80489,-5.1,7.8,2017-05,spring
2708,캐나다,12377,70,16,58,4166,16687,15617,6.9,1.7,2017-05,spring
2709,멕시코,1004,4,3,87,257,1355,1339,1.2,0.1,2017-05,spring
2710,브라질,1047,10,12,15,362,1446,1967,-26.5,0.1,2017-05,spring
2711,미주 기타,2567,32,19,43,766,3427,4127,-17.0,0.4,2017-05,spring
2713,영국,8193,289,8,33,1570,10093,11262,-10.4,1.0,2017-05,spring
2714,독일,7336,238,15,239,1352,9180,9578,-4.2,0.9,2017-05,spring
2715,프랑스,6321,437,37,389,1409,8593,8713,-1.4,0.9,2017-05,spring
2716,네덜란드,2106,46,9,63,610,2834,2800,1.2,0.3,2017-05,spring
2717,스웨덴,1251,43,9,41,122,1466,1565,-6.3,0.1,2017-05,spring
2718,스위스,1163,28,1,29,93,1314,1261,4.2,0.1,2017-05,spring
2719,이탈리아,2554,77,10,44,1627,4312,6780,-36.4,0.4,2017-05,spring
2720,덴마크,702,33,7,8,162,912,1081,-15.6,0.1,2017-05,spring
2721,노르웨이,770,307,2,23,146,1248,1475,-15.4,0.1,2017-05,spring
2722,벨기에,787,20,3,7,180,997,1045,-4.6,0.1,2017-05,spring
2723,오스트리아,674,13,2,21,176,886,877,1.0,0.1,2017-05,spring
2724,스페인,1497,25,18,60,323,1923,2062,-6.7,0.2,2017-05,spring
2725,그리스,436,31,2,1,223,693,1110,-37.6,0.1,2017-05,spring
2726,포르투갈,633,11,1,6,145,796,903,-11.8,0.1,2017-05,spring
2727,핀란드,806,33,1,44,383,1267,1275,-0.6,0.1,2017-05,spring
2728,아일랜드,456,18,2,5,142,623,628,-0.8,0.1,2017-05,spring
2729,우크라이나,636,118,1,5,1350,2110,2778,-24.0,0.2,2017-05,spring
2730,러시아,15439,142,13,75,7064,22733,21651,5.0,2.3,2017-05,spring
2731,크로아티아,243,17,0,2,268,530,715,-25.9,0.1,2017-05,spring
2732,루마니아,375,26,1,7,571,980,1716,-42.9,0.1,2017-05,spring
2733,불가리아,242,2,0,3,361,608,1065,-42.9,0.1,2017-05,spring
2734,폴란드,1143,34,3,13,452,1645,1350,21.9,0.2,2017-05,spring
2735,구주 기타,2243,59,25,46,1138,3511,3459,1.5,0.4,2017-05,spring
2737,오스트레일리아,9696,454,22,29,1317,11518,12895,-10.7,1.2,2017-05,spring
2738,뉴질랜드,2215,30,10,4,574,2833,2742,3.3,0.3,2017-05,spring
2739,대양주 기타,486,5,5,0,118,614,607,1.2,0.1,2017-05,spring
2741,남아프리카공화국,453,12,0,0,343,808,1134,-28.7,0.1,2017-05,spring
2742,아프리카 기타,1841,559,89,95,558,3142,5204,-39.6,0.3,2017-05,spring
2744,국적미상,44,1,0,0,20,65,47,38.3,0.0,2017-05,spring
2746,교포,0,0,0,0,23380,23380,24488,-4.5,2.4,2017-05,spring
2748,일본,161395,1739,106,635,3910,167785,180192,-6.9,16.9,2017-06,summer
2749,대만,76552,58,23,269,1084,77986,87722,-11.1,7.9,2017-06,summer
2750,홍콩,57461,37,7,164,921,58590,62492,-6.2,5.9,2017-06,summer
2751,마카오,3631,0,0,20,31,3682,4325,-14.9,0.4,2017-06,summer
2752,태국,22179,25,188,92,5376,27860,30436,-8.5,2.8,2017-06,summer
2753,말레이시아,16128,81,4,73,1832,18118,15685,15.5,1.8,2017-06,summer
2754,필리핀,17971,267,107,69,16812,35226,49835,-29.3,3.6,2017-06,summer
2755,인도네시아,13097,252,64,105,5242,18760,25634,-26.8,1.9,2017-06,summer
2756,싱가포르,19783,101,5,75,1518,21482,21827,-1.6,2.2,2017-06,summer
2757,미얀마,1393,17,81,27,4449,5967,6435,-7.3,0.6,2017-06,summer
2758,베트남,23271,597,313,2122,5385,31688,24593,28.8,3.2,2017-06,summer
2759,인도,3087,2207,125,110,4001,9530,18595,-48.7,1.0,2017-06,summer
2760,스리랑카,309,64,23,17,1527,1940,2413,-19.6,0.2,2017-06,summer
2761,파키스탄,253,212,32,27,230,754,843,-10.6,0.1,2017-06,summer
2762,방글라데시,213,112,43,28,490,886,1128,-21.5,0.1,2017-06,summer
2763,캄보디아,461,35,60,30,1750,2336,2959,-21.1,0.2,2017-06,summer
2764,몽골,8454,91,233,523,481,9782,7782,25.7,1.0,2017-06,summer
2765,중국,181507,3513,155,12669,57086,254930,758534,-66.4,25.7,2017-06,summer
2766,이란,455,224,38,21,192,930,726,28.1,0.1,2017-06,summer
2767,이스라엘,769,6,0,5,47,827,1009,-18.0,0.1,2017-06,summer
2768,터키,1300,9,101,20,835,2265,2377,-4.7,0.2,2017-06,summer
2769,우즈베키스탄,3171,363,0,264,2693,6491,5735,13.2,0.7,2017-06,summer
2770,카자흐스탄,2641,11,18,49,816,3535,2842,24.4,0.4,2017-06,summer
2771,GCC,1398,27,21,30,56,1532,896,71.0,0.2,2017-06,summer
2772,아시아 기타,1928,375,207,71,2669,5250,4398,19.4,0.5,2017-06,summer
2774,미국,70021,381,1752,185,13616,85955,88276,-2.6,8.7,2017-06,summer
2775,캐나다,9834,35,22,36,4454,14381,13950,3.1,1.4,2017-06,summer
2776,멕시코,930,6,6,35,231,1208,1742,-30.7,0.1,2017-06,summer
2777,브라질,1036,11,11,9,340,1407,1920,-26.7,0.1,2017-06,summer
2778,미주 기타,2110,18,27,35,588,2778,3889,-28.6,0.3,2017-06,summer
2780,영국,7689,196,8,36,1304,9233,11298,-18.3,0.9,2017-06,summer
2781,독일,6258,238,30,108,1310,7944,8636,-8.0,0.8,2017-06,summer
2782,프랑스,5686,324,30,203,974,7217,7319,-1.4,0.7,2017-06,summer
2783,네덜란드,1851,40,13,29,629,2562,2552,0.4,0.3,2017-06,summer
